year,month,day,statefips,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,10,1,0.00355,.0105,0.0066099999999999996,-0.00162,0.00811,.0202,-.0123,0.00474
2020,1,10,2,0.0060799999999999995,-.00277,0.0703,0.0107,0.0346,-.0473,-.0383,0.0131
2020,1,10,4,0.00458,.0134,0.00217,0.00293,0.0168,.00218,.00772,0.00159
2020,1,10,5,-0.00225,-.00421,-0.00496,0.00295,0.00151,-.0199,.0223,-0.0186
2020,1,10,6,0.000297,-.000681,-0.00883,0.00415,0.00331,.0044,-.00227,0.0005070000000000001
2020,1,10,8,-0.006790000000000001,-.00646,-0.00838,-0.00628,-0.0049299999999999995,-.0127,.00586,-0.00727
2020,1,10,9,-0.0015199999999999999,-.00132,-0.00481,-1.29e-05,-0.000767,.0434,-.00891,-0.00229
2020,1,10,10,-0.0059,-.00944,0.0413,-0.00957,-0.0036899999999999997,-.0401,-.00841,0.00978
2020,1,10,11,-0.034,-.0297,0.00687,-0.0686,-0.011000000000000001,-.146,-.0487,-0.0502
2020,1,10,12,0.00663,.00541,0.00307,0.00899,0.0054399999999999995,.0109,.00287,0.00228
2020,1,10,13,0.00659,.00955,0.00942,0.00349,0.0104,.0098,-.00338,0.00155
2020,1,10,15,0.00125,.00192,0.000384,0.000608,-0.00107,-.0069,.000958,0.0149
2020,1,10,16,0.0105,-.0456,-0.0017699999999999999,0.016,0.0137,-.0107,.00342,0.024
2020,1,10,17,-0.0256,-.0261,-0.0306,-0.0228,-0.0296,-.0459,-.0418,-0.0147
2020,1,10,18,-0.0278,-.0308,-0.0254,-0.0284,-0.0245,-.0346,-.0195,-0.0256
2020,1,10,19,-0.0119,-.0169,-0.025,-0.0078,-0.00108,-.0288,-.0238,-0.015
2020,1,10,20,-0.00145,-.00459,-0.00317,0.000196,-0.0073,.00828,.0113,-0.00881
2020,1,10,21,-0.0010199999999999999,.00173,-0.00926,0.00824,0.00282,-.000967,-.0108,0.0015400000000000001
2020,1,10,22,0.00256,-.0102,0.0103,-0.00221,0.00451,-.0121,.018,-0.00394
2020,1,10,23,0.00573,-.0048,0.00432,0.007859999999999999,0.00186,.00817,.0152,-0.00312
2020,1,10,24,-0.0136,-.0156,0.00047599999999999997,-0.0133,-0.02,.0211,-.00768,-0.0186
