year,month,day,statefips,revenue_all,revenue_inchigh,revenue_inclow,revenue_incmiddle,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,1,10,1,-0.0111,.0249,-0.0183,-0.013000000000000001,-0.0128,.0139,-.0141,0.0124
2020,1,10,2,0.0131,-.00622,-0.14800000000000002,0.0388,0.0331,-.0463,-.129,0.0242
2020,1,10,4,-0.0247,-.00482,-0.0361,-0.0259,-0.0214,-.0196,-.0202,0.000327
2020,1,10,5,-0.0367,-.101,-0.0575,0.00705,-0.0166,-.0697,-.0348,-0.0473
2020,1,10,6,-0.00576,-.00908,-0.0255,0.0036899999999999997,-0.00853,.00342,-.00155,-0.0135
2020,1,10,8,-0.021,-.0202,0.00434,-0.0294,-0.0424,.0759,-.00432,-0.0361
2020,1,10,9,-0.0070599999999999994,-.00758,0.0523,-0.0269,0.0125,.0306,-.0118,-0.0282
2020,1,10,10,-0.0734,-.017,0.16899999999999998,-0.106,-0.0622,-.285,.017,-0.0299
2020,1,10,11,-0.0404,-.0493,-0.0377,0.0167,-0.106,.0955,-.0476,-0.0976
2020,1,10,12,-0.0436,-.0779,-0.0316,-0.0409,-0.0831,-.0463,.00962,-0.0274
2020,1,10,13,-0.0306,-.0309,-0.0348,-0.0272,-0.0458,-.0563,-.0305,-0.0239
2020,1,10,15,-0.0554,.0131,0.051,-0.14,-0.163,-.0342,.0779,0.00275
2020,1,10,16,0.0109,.191,-0.0332,0.0198,0.021,-.0797,.0293,0.0381
2020,1,10,17,-0.0714,-.076,-0.10099999999999999,-0.0556,-0.11800000000000001,-.0668,-.0413,-0.0436
2020,1,10,18,-0.0559,-.0863,-0.0189,-0.0674,-0.0618,-.0593,.0383,-0.0593
2020,1,10,19,-0.0499,-.0189,-0.0276,-0.0606,0.0103,-.0615,-.0465,-0.081
2020,1,10,20,-0.0107,-.0169,-0.0275,0.00379,0.0189,.00618,-.0606,-0.00116
2020,1,10,21,-0.0607,-.0845,-0.073,-0.0461,-0.0476,-.128,-.0593,-0.0558
2020,1,10,22,-0.0367,-.0453,-0.0358,-0.0346,-0.0182,-.0623,-.0238,-0.0513
2020,1,10,23,-0.043,-.0515,0.0475,-0.0805,-0.0302,.00788,.0132,-0.106
2020,1,10,24,-0.0309,-.0301,-0.0491,-0.0294,-0.0617,-.033,.00855,-0.0698
2020,1,10,25,-0.0529,-.0572,-0.0504,-0.0522,-0.0682,-.0678,-.0613,-0.0371
2020,1,10,26,-0.0145,-.0135,-0.0369,-0.005520000000000001,0.0101,.0667,-.136,-0.00799
2020,1,10,27,-0.0264,-.0119,-0.0853,-0.026000000000000002,-0.0602,-.0246,.0553,-0.0165
2020,1,10,28,-0.03,.0193,-0.0636,0.00755,-0.085,-.115,.134,-0.0189
2020,1,10,29,-0.0384,-.0498,-0.0277,-0.0416,-0.0423,-.0264,.0522,-0.0506
2020,1,10,30,-0.0439,-.16,-0.0561,-0.0378,-0.0424,-.106,.0107,-0.0597
2020,1,10,31,-0.0262,-.0372,-0.0296,-0.0221,-0.00659,-.00707,-.0879,-0.0497
2020,1,10,32,-0.0491,.0518,-0.109,-0.0283,-0.0413,-.00281,.00756,-0.13
2020,1,10,33,-0.0594,-.105,-0.09699999999999999,-0.0229,-0.127,.000792,.019,-0.0984
2020,1,10,34,-0.0579,-.0594,-0.00839,-0.0672,-0.10099999999999999,-.116,-.0223,-0.0295
2020,1,10,35,0.00185,.137,0.0281,-0.0208,0.0166,-.0492,.105,-0.0332
2020,1,10,36,-0.0216,-.0293,-0.00795,-0.0146,-0.0328,-.0024,-.0477,-0.0053
2020,1,10,37,-0.0172,-.0141,-0.008740000000000001,-0.0226,-0.038,-.0482,-.0111,0.00519
2020,1,10,38,-0.0621,-.109,0.0571,-0.0819,-0.0836,-.169,-.0882,0.0451
2020,1,10,39,-0.0522,-.0681,-0.0683,-0.0445,-0.0729,-.0155,-.0319,-0.059000000000000004
2020,1,10,40,-0.0258,.0318,0.0108,-0.0635,-0.00027,-.109,.0118,-0.00134
2020,1,10,41,-0.000264,-.0186,0.0237,-0.0079,0.00587,.000557,-.0256,0.0025
2020,1,10,42,-0.0274,-.0352,-0.0347,-0.0191,-0.0448,.0338,-.0635,-0.0347
2020,1,10,44,-0.0346,-.0209,-0.10400000000000001,-0.00922,0.0133,-.0692,-.106,-0.039
2020,1,10,45,-0.0234,-.0475,-0.0402,-0.00926,-0.0621,.013,-.0299,0.00016299999999999998
2020,1,10,46,-0.114,-.144,-0.0917,-0.11900000000000001,-0.0515,.,-.192,-0.0322
2020,1,10,47,-0.0227,.0654,-0.0224,-0.0474,0.0253,.0586,-.112,-0.03
2020,1,10,48,-0.0385,-.0295,-0.0248,-0.0502,-0.0639,-.0338,-.00248,-0.0244
2020,1,10,49,-0.00783,-.00552,-0.0267,-0.00265,-0.0037,-.00875,-.0434,0.028999999999999998
2020,1,10,50,-0.0776,.069,-0.0373,-0.105,-0.0732,-.0458,-.15,-0.0721
2020,1,10,51,-0.009340000000000001,.00542,-0.0199,-0.0269,-0.0597,.0156,-.0329,-0.0345
2020,1,10,53,0.047,.0514,0.0468,0.0449,0.0657,.0239,.0483,0.0378
2020,1,10,54,-0.0529,.184,-0.0717,-0.0388,-0.0471,.0553,-.0591,-0.0504
2020,1,10,55,-0.0199,-.0784,-0.0393,0.0057,-0.0308,.123,-.0605,-0.0668
2020,1,10,56,-0.0408,-.104,-0.145,-0.0231,0.00389,-.145,.146,-0.0718
2020,1,11,1,-0.0289,-.00527,-0.042,-0.0215,-0.0383,.0329,.00337,-0.0321
2020,1,11,2,0.0524,.0593,-0.0384,0.0516,0.10400000000000001,-.126,.034,0.0464
2020,1,11,4,-0.011000000000000001,.0208,-0.0187,-0.0192,0.00518,-.0416,-.0033,0.0123
2020,1,11,5,-0.0363,-.116,-0.0514,-0.00121,-0.00404,-.0801,-.0394,-0.0698
2020,1,11,6,0.00571,-.00239,-0.00584,0.0184,0.00168,.0263,.00359,-0.0035700000000000003
2020,1,11,8,0.00162,-.00376,0.0162,7.670000000000001e-05,-0.0254,.0791,.0201,-0.00607
2020,1,11,9,0.0202,.0163,0.0812,0.00548,0.0841,.00357,-.00769,-0.007940000000000001
2020,1,11,10,-0.0429,.00442,0.126,-0.067,-0.0248,-.271,.0482,-0.0199
2020,1,11,11,-0.00527,-.00691,0.0195,0.00845,-0.121,.108,.0241,-0.0611
2020,1,11,12,-0.0187,-.0619,-0.0145,-0.00972,-0.023,-.0234,.0134,-0.0199
2020,1,11,13,-0.0309,-.0265,-0.0471,-0.0226,-0.0443,-.0298,-.0216,-0.0421
2020,1,11,15,-0.0343,.0115,0.0285,-0.0934,-0.11199999999999999,-.0229,.093,-0.00349
2020,1,11,16,0.0103,.187,-0.00505,0.0109,-0.00203,-.0627,.0405,0.0195
2020,1,11,17,-0.0715,-.0681,-0.106,-0.0622,-0.113,-.0603,-.0284,-0.055
2020,1,11,18,-0.0514,-.0986,-0.0313,-0.0497,-0.0666,-.0425,.0309,-0.0536
2020,1,11,19,-0.0532,-.0307,-0.0487,-0.0576,-0.00992,-.0276,-.0194,-0.10800000000000001
2020,1,11,20,-0.0391,-.0898,-0.0439,-0.0148,-0.049,.00722,-.0381,-0.0661
2020,1,11,21,-0.0637,-.0955,-0.0783,-0.0453,-0.0621,-.115,-.0514,-0.0621
2020,1,11,22,-0.0326,-.05,-0.0257,-0.0335,-0.00165,-.0757,-.0219,-0.0484
2020,1,11,23,-0.0163,-.019,0.0804,-0.0577,-0.0255,.101,.0127,-0.0821
2020,1,11,24,-0.0217,-.0175,-0.0253,-0.0303,-0.024,-.00969,.0185,-0.0697
2020,1,11,25,-0.0324,-.0354,-0.0264,-0.0345,-0.0406,-.0766,-.0422,-0.0161
2020,1,11,26,-0.025,-.0355,-0.0514,-0.0114,-0.00995,.0867,-.125,-0.0305
2020,1,11,27,-0.0281,-.000177,-0.0903,-0.0344,-0.0588,-.03,.042,-0.037000000000000005
2020,1,11,28,-0.0485,.0106,-0.0721,-0.0245,-0.0901,-.0333,.00414,-0.039
2020,1,11,29,-0.0152,.0188,-0.0109,-0.0337,-0.0187,.0275,.086,-0.0477
2020,1,11,30,-0.027000000000000003,-.0131,-0.0362,-0.0231,-0.00513,-.0689,.0153,-0.0748
2020,1,11,31,-0.0184,-.0249,-0.0155,-0.0171,-0.0209,.0511,-.0712,-0.0315
2020,1,11,32,-0.0303,.112,-0.0858,-0.0234,-0.0417,.0182,.0124,-0.0884
2020,1,11,33,-0.00747,-.0545,-0.0512,0.0309,-0.0208,.0612,.0165,-0.0655
2020,1,11,34,-0.0192,-.0287,0.00233,-0.000684,-0.00971,-.102,-.0144,-0.0119
2020,1,11,35,0.0208,.131,0.0527,-0.00403,0.0133,-.00389,.132,-0.0276
2020,1,11,36,0.00518,.00673,0.00225,0.00554,0.0148,.0175,-.0309,0.022000000000000002
2020,1,11,37,-0.0134,-.00451,-0.0141,-0.0152,-0.0369,-.0277,.0237,-0.00267
2020,1,11,38,-0.0928,-.122,0.0231,-0.11800000000000001,-0.11,-.18,-.122,0.00982
2020,1,11,39,-0.039,-.0402,-0.0543,-0.0375,-0.0517,.00285,-.0119,-0.0458
2020,1,11,40,-0.0343,.0141,-0.00674,-0.0651,-0.0465,-.0388,.0149,-0.0357
2020,1,11,41,0.0173,-.02,0.0413,0.0128,0.00847,.0218,-.0101,0.0662
2020,1,11,42,-0.0164,-.0111,-0.033,-0.0112,-0.0294,.0102,-.0538,-0.0193
2020,1,11,44,-0.00898,-.0114,-0.0664,0.0207,0.0455,-.0554,-.0626,-0.0153
2020,1,11,45,-0.0255,-.0594,-0.0328,-0.015,-0.055,.00738,-.0153,0.000588
2020,1,11,46,-0.11,-.14,-0.079,-0.11900000000000001,-0.0872,.,-.162,-0.0201
2020,1,11,47,-0.0282,.0298,-0.0207,-0.0458,-0.0149,.0743,-.0564,-0.0464
2020,1,11,48,-0.0181,-.00617,-0.00704,-0.0304,0.0009310000000000001,-.0342,-.0125,-0.018000000000000002
2020,1,11,49,0.0117,.0335,-0.00799,0.00882,0.00912,.0698,-.024,0.054000000000000006
2020,1,11,50,-0.0671,.102,-0.0243,-0.098,-0.0814,-.0201,-.162,-0.054000000000000006
2020,1,11,51,-0.008409999999999999,.0142,-0.02,-0.0349,-0.0391,-.00574,-.0174,-0.0354
2020,1,11,53,0.0487,.0536,0.0422,0.0476,0.0348,.0473,.0902,0.0274
2020,1,11,54,-0.0566,.143,-0.0743,-0.0411,-0.0807,.0752,-.0845,-0.0468
2020,1,11,55,-0.0297,-.0944,-0.0541,-0.000587,-0.0453,.0966,-.0526,-0.0995
2020,1,11,56,-0.00124,-.0341,-0.14,0.011000000000000001,0.0192,-.0901,.153,-0.031
2020,1,12,1,-0.0278,-.00979,-0.0414,-0.0179,-0.0334,.04,-.00416,-0.0492
2020,1,12,2,0.0487,.0591,-0.000596,0.043,0.0978,-.142,.0247,0.0398
2020,1,12,4,-0.008879999999999999,.0163,-0.0147,-0.0155,0.00955,-.0461,-.00418,0.00586
2020,1,12,5,-0.0361,-.115,-0.0412,-0.0176,-2.35e-05,-.0733,-.0439,-0.0846
2020,1,12,6,0.0038799999999999998,-.00712,-0.00602,0.0193,0.00148,.0269,.00743,-0.0109
2020,1,12,8,0.0128,.0148,0.0243,0.00775,-0.0133,.0849,.0113,0.0114
2020,1,12,9,0.0104,.00765,0.0678,-0.00456,0.0697,.00302,-.013,-0.0113
2020,1,12,10,-0.0322,.00485,0.0759,-0.0493,-0.035,-.235,.058,-0.0111
2020,1,12,11,-0.00561,.000904,0.009770000000000001,-0.0374,-0.191,.114,.0434,-0.0524
2020,1,12,12,-0.0145,-.0471,-0.0123,-0.007390000000000001,-0.0113,-.023,.0102,-0.0183
2020,1,12,13,-0.0243,-.0198,-0.0498,-0.0099,-0.0361,-.0256,-.0195,-0.0427
2020,1,12,15,-0.0299,.00125,0.0771,-0.0723,-0.0754,-.0375,.0982,-0.0143
2020,1,12,16,0.0113,.156,0.00799,0.009059999999999999,0.0035,-.0638,.0474,-0.00577
2020,1,12,17,-0.0428,-.0426,-0.0666,-0.0348,-0.0427,-.0504,-.0298,-0.0426
2020,1,12,18,-0.0176,-.0687,0.0020399999999999997,-0.013999999999999999,-0.0116,-.0352,.0337,-0.0135
